RUN	basic.ListarAnuncios	listaranuncios	1603234142216	teste	3.0.2
USER	ListarAnuncios3	1	START	1603234144562	1603234144562
USER	ListarAnuncios3	2	START	1603234144568	1603234144568
USER	ListarAnuncios3	3	START	1603234144571	1603234144571
USER	ListarAnuncios3	4	START	1603234144572	1603234144572
USER	ListarAnuncios3	5	START	1603234144572	1603234144572
USER	ListarAnuncios3	6	START	1603234144572	1603234144572
USER	ListarAnuncios3	7	START	1603234144572	1603234144572
USER	ListarAnuncios3	8	START	1603234144572	1603234144572
USER	ListarAnuncios3	9	START	1603234144573	1603234144573
USER	ListarAnuncios3	10	START	1603234144573	1603234144573
USER	ListarAnuncios3	11	START	1603234144573	1603234144573
USER	ListarAnuncios3	12	START	1603234144573	1603234144573
USER	ListarAnuncios3	13	START	1603234144574	1603234144574
USER	ListarAnuncios3	14	START	1603234144574	1603234144574
USER	ListarAnuncios3	15	START	1603234144575	1603234144575
USER	ListarAnuncios3	16	START	1603234144575	1603234144575
USER	ListarAnuncios3	17	START	1603234144579	1603234144579
USER	ListarAnuncios3	18	START	1603234144579	1603234144579
USER	ListarAnuncios3	19	START	1603234144580	1603234144580
USER	ListarAnuncios3	20	START	1603234144580	1603234144580
USER	ListarAnuncios3	21	START	1603234144580	1603234144580
USER	ListarAnuncios3	22	START	1603234144580	1603234144580
USER	ListarAnuncios3	23	START	1603234144581	1603234144581
USER	ListarAnuncios3	24	START	1603234144581	1603234144581
USER	ListarAnuncios3	25	START	1603234144581	1603234144581
USER	ListarAnuncios3	26	START	1603234144582	1603234144582
USER	ListarAnuncios3	27	START	1603234144582	1603234144582
USER	ListarAnuncios3	28	START	1603234144582	1603234144582
USER	ListarAnuncios3	29	START	1603234144582	1603234144582
USER	ListarAnuncios3	30	START	1603234144583	1603234144583
USER	ListarAnuncios3	31	START	1603234144583	1603234144583
USER	ListarAnuncios3	32	START	1603234144583	1603234144583
USER	ListarAnuncios3	33	START	1603234144583	1603234144583
USER	ListarAnuncios3	34	START	1603234144584	1603234144584
USER	ListarAnuncios3	35	START	1603234144584	1603234144584
USER	ListarAnuncios3	36	START	1603234144584	1603234144584
USER	ListarAnuncios3	37	START	1603234144585	1603234144585
USER	ListarAnuncios3	38	START	1603234144585	1603234144585
USER	ListarAnuncios3	39	START	1603234144585	1603234144585
USER	ListarAnuncios3	40	START	1603234144586	1603234144586
USER	ListarAnuncios3	41	START	1603234144586	1603234144586
USER	ListarAnuncios3	42	START	1603234144586	1603234144586
USER	ListarAnuncios3	43	START	1603234144587	1603234144587
